barcode,well-id,moa,cbk-id,batch-id,cmpd-name,SMILES
P102785,A02,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,A19,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,B07,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,C10,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,C15,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,D23,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,E06,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,F03,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,F14,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,G11,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,G22,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,H18,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,I08,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,J12,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,J24,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,K01,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,K17,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,L05,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,L20,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,M09,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,M13,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,N16,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,O21,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
P102785,P04,dmso,[dmso],PHB000001,Dimethyl Sulfoxide,[dmso]
